,,,,,,Value,Value,Val error,Val error
,,,,,,mean,std,mean,std
Experiment_id,Dataset,Training,Adaptation steps,Horizon,Vrae weight,,,,
HORIZON1_ABLATION,HR,MMAML,0,1,0.0,0.05396124596397082,0.004255311957869637,,
HORIZON1_ABLATION,HR,MMAML,0,10,0.0,0.0733252763748169,0.004347955188078164,0.06996162235736847,0.0009758954024120764
HORIZON1_ABLATION,HR,MMAML,1,1,0.0,0.04436692843834559,0.0019533024896224104,,
HORIZON1_ABLATION,HR,MMAML,1,10,0.0,0.06821538011233012,0.0032873935678937464,0.06470142304897308,0.0019798409277579617
HORIZON1_ABLATION_1,HR,MMAML,0,1,0.0,0.05268456488847732,0.0050881650600429875,,
HORIZON1_ABLATION_1,HR,MMAML,0,10,0.0,0.07384721040725709,0.005478567744426771,0.07101127356290818,0.0009829020589898064
HORIZON1_ABLATION_1,HR,MMAML,1,1,0.0,0.0449542760848999,0.003148839969813486,,
HORIZON1_ABLATION_1,HR,MMAML,1,10,0.0,0.06925900429487228,0.00310784013317214,0.06533930897712707,0.0005725473557596851
HORIZON2_ABLATION,HR,MMAML,0,1,0.0,0.05990245814124743,0.004036123219837165,,
HORIZON2_ABLATION,HR,MMAML,0,10,0.0,0.07110012819369634,0.0033233703376159426,0.0696371595064799,0.0033698206068466826
HORIZON2_ABLATION,HR,MMAML,1,1,0.0,0.04873653004566828,0.0005789125407705353,,
HORIZON2_ABLATION,HR,MMAML,1,10,0.0,0.06499042858680089,0.0006442237782941492,0.06101278215646744,0.0013876292930595192
HORIZON2_ABLATION_1,HR,MMAML,0,1,0.0,0.05835527032613754,0.002842753422578368,,
HORIZON2_ABLATION_1,HR,MMAML,0,10,0.0,0.07096283286809921,0.0034619798231218775,0.06851767748594284,0.0010124740590466742
HORIZON2_ABLATION_1,HR,MMAML,1,1,0.0,0.048151157796382904,0.002052361467743166,,
HORIZON2_ABLATION_1,HR,MMAML,1,10,0.0,0.06549856886267662,0.0025352499508927303,0.0595440112054348,0.000939937866376564
HORIZON3_ABLATION,HR,MMAML,0,1,0.0,0.07333523035049438,0.00522632001789581,,
HORIZON3_ABLATION,HR,MMAML,0,10,0.0,0.07948743303616841,0.004599809738477181,0.07169624418020248,0.00512530744202661
HORIZON3_ABLATION,HR,MMAML,1,1,0.0,0.055393810073534645,0.004524305205576124,,
HORIZON3_ABLATION,HR,MMAML,1,10,0.0,0.06703527768452962,0.0036209782859154276,0.05967920025189718,0.0008390749418146546
HORIZON3_ABLATION_1,HR,MMAML,0,1,0.0,0.06860850900411605,0.0037354210517631897,,
HORIZON3_ABLATION_1,HR,MMAML,0,10,0.0,0.07269093692302704,0.0031965369841268905,0.07546445727348328,0.0024012245159849635
HORIZON3_ABLATION_1,HR,MMAML,1,1,0.0,0.05314512699842453,0.002569394970173253,,
HORIZON3_ABLATION_1,HR,MMAML,1,10,0.0,0.06352456957101822,0.0021198362449673424,0.05996543094515801,0.0011901263366540385
HORIZON4_ABLATION_1,HR,MMAML,0,1,0.0,0.08513109534978866,0.003871376812479118,,
HORIZON4_ABLATION_1,HR,MMAML,0,10,0.0,0.08195136785507202,0.002788936889137051,0.0767179250717163,0.0020922378517934607
